기간,Brent
10년12월09일,90.99
10년12월10일,90.48
10년12월13일,91.19
10년12월14일,91.21
10년12월15일,92.2
10년12월16일,91.71
10년12월17일,91.67
10년12월20일,92.74
10년12월21일,93.2
10년12월22일,93.65
10년12월23일,94.25
10년12월24일,93.77
10년12월27일,93.85
10년12월28일,94.38
10년12월29일,94.14
10년12월30일,93.09
10년12월31일,94.75
11년01월03일,94.84
11년01월04일,93.53
11년01월05일,95.5
11년01월06일,94.52
11년01월07일,93.33
11년01월10일,95.7
11년01월11일,97.61
11년01월12일,98.12
11년01월13일,98.06
11년01월14일,98.68
11년01월17일,97.43
11년01월18일,97.8
11년01월19일,98.16
11년01월20일,96.58
11년01월21일,97.6
11년01월24일,96.61
11년01월25일,95.25
11년01월26일,97.91
11년01월27일,97.39
11년01월28일,99.42
11년01월31일,101.01
11년02월01일,101.74
11년02월02일,102.34
11년02월03일,101.76
11년02월04일,99.83
11년02월07일,99.25
11년02월08일,99.92
11년02월09일,101.82
11년02월10일,100.87
11년02월11일,101.43
11년02월14일,103.08
11년02월15일,101.64
11년02월16일,103.78
11년02월17일,102.59
11년02월18일,102.52
11년02월21일,105.74
11년02월22일,105.78
11년02월23일,111.25
11년02월24일,111.36
11년02월25일,112.14
11년02월28일,111.8
11년03월01일,115.42
11년03월02일,116.35
11년03월03일,114.79
11년03월04일,115.97
11년03월07일,115.04
11년03월08일,113.06
11년03월09일,115.94
11년03월10일,115.43
11년03월11일,113.84
11년03월14일,113.67
11년03월15일,108.52
11년03월16일,110.62
11년03월17일,114.9
11년03월18일,113.93
11년03월21일,114.96
11년03월22일,115.7
11년03월23일,115.55
11년03월24일,115.72
11년03월25일,115.59
11년03월28일,114.8
11년03월29일,115.16
11년03월30일,115.13
11년03월31일,117.36
11년04월01일,118.7
11년04월04일,121.06
11년04월05일,122.22
11년04월06일,122.3
11년04월07일,122.67
11년04월08일,126.65
11년04월11일,123.98
11년04월12일,120.92
11년04월13일,122.88
11년04월14일,122.36
11년04월15일,123.45
11년04월18일,121.61
11년04월19일,121.33
11년04월20일,123.85
11년04월21일,123.99
11년04월25일,123.66
11년04월26일,124.14
11년04월27일,125.13
11년04월28일,125.02
11년04월29일,125.89
11년05월02일,125.12
11년05월03일,122.45
11년05월04일,121.19
11년05월05일,110.8
11년05월06일,109.13
11년05월09일,115.9
11년05월10일,117.63
11년05월11일,112.57
11년05월12일,112.98
11년05월13일,113.83
11년05월16일,112.73
11년05월17일,109.99
11년05월18일,112.3
11년05월19일,111.42
11년05월20일,112.39
11년05월23일,110.1
11년05월24일,112.53
11년05월25일,114.93
11년05월26일,115.05
11년05월27일,115.03
11년05월30일,114.68
11년05월31일,116.73
11년06월01일,114.53
11년06월02일,115.54
11년06월03일,115.84
11년06월06일,114.48
11년06월07일,116.78
11년06월08일,117.85
11년06월09일,119.57
11년06월10일,118.78
11년06월13일,119.1
11년06월14일,120.16
11년06월15일,117.1
11년06월16일,114.02
11년06월17일,113.21
11년06월20일,111.69
11년06월21일,110.95
11년06월22일,114.21
11년06월23일,107.26
11년06월24일,105.12
11년06월27일,105.99
11년06월28일,108.78
11년06월29일,112.4
11년06월30일,112.48
11년07월01일,111.77
11년07월04일,111.39
11년07월05일,113.61
11년07월06일,113.62
11년07월07일,118.59
11년07월08일,118.33
11년07월11일,117.24
11년07월12일,117.75
11년07월13일,118.78
11년07월14일,118.32
11년07월15일,117.26
11년07월18일,116.05
11년07월19일,117.06
11년07월20일,118.15
11년07월21일,117.51
11년07월22일,118.67
11년07월25일,117.94
11년07월26일,118.28
11년07월27일,117.43
11년07월28일,117.36
11년07월29일,116.74
11년08월01일,116.81
11년08월02일,116.46
11년08월03일,113.23
11년08월04일,107.25
11년08월05일,109.37
11년08월08일,103.74
11년08월09일,102.57
11년08월10일,106.68
11년08월11일,108.02
11년08월12일,108.03
11년08월15일,109.91
11년08월16일,109.47
11년08월17일,110.6
11년08월18일,106.99
11년08월19일,108.62
11년08월22일,108.36
11년08월23일,109.31
11년08월24일,110.15
11년08월25일,110.62
11년08월26일,111.36
11년08월29일,111.88
11년08월30일,114.02
11년08월31일,114.85
11년09월01일,114.29
11년09월02일,112.33
11년09월05일,110.08
11년09월06일,112.89
11년09월07일,115.8
11년09월08일,114.55
11년09월09일,112.77
11년09월12일,112.25
11년09월13일,111.89
11년09월14일,112.4
11년09월15일,115.34
11년09월16일,112.22
11년09월19일,109.14
11년09월20일,110.54
11년09월21일,110.36
11년09월22일,105.49
11년09월23일,103.97
11년09월26일,103.94
11년09월27일,107.14
11년09월28일,103.81
11년09월29일,103.95
11년09월30일,102.76
11년10월03일,101.71
11년10월04일,99.79
11년10월05일,102.73
11년10월06일,105.73
11년10월07일,105.88
11년10월10일,108.95
11년10월11일,110.73
11년10월12일,111.36
11년10월13일,111.11
11년10월14일,114.68
11년10월17일,110.16
11년10월18일,111.15
11년10월19일,108.39
11년10월20일,109.76
11년10월21일,109.56
11년10월24일,111.45
11년10월25일,110.92
11년10월26일,108.91
11년10월27일,112.08
11년10월28일,109.91
11년10월31일,109.56
11년11월01일,109.54
11년11월02일,109.34
11년11월03일,110.83
11년11월04일,111.97
11년11월07일,114.56
11년11월08일,115
11년11월09일,112.31
11년11월10일,113.71
11년11월11일,114.16
11년11월14일,111.89
11년11월15일,112.39
11년11월16일,111.88
11년11월17일,108.22
11년11월18일,107.56
11년11월21일,106.88
11년11월22일,109.03
11년11월23일,107.02
11년11월24일,107.78
11년11월25일,106.4
11년11월28일,109
11년11월29일,110.82
11년11월30일,110.52
11년12월01일,108.99
11년12월02일,109.94
11년12월05일,109.81
11년12월06일,110.81
11년12월07일,109.53
11년12월08일,108.11
11년12월09일,108.62
11년12월12일,107.26
11년12월13일,109.5
11년12월14일,105.02
11년12월15일,105.09
11년12월16일,103.35
11년12월19일,103.64
11년12월20일,106.73
11년12월21일,107.71
11년12월22일,107.89
11년12월23일,107.96
11년12월27일,109.27
11년12월28일,107.56
11년12월29일,108.01
11년12월30일,107.38
12년01월03일,112.13
12년01월04일,113.7
12년01월05일,112.74
12년01월06일,113.06
12년01월09일,112.45
12년01월10일,113.28
12년01월11일,112.24
12년01월12일,111.26
12년01월13일,110.44
12년01월16일,111.2
12년01월17일,111.53
12년01월18일,110.66
12년01월19일,111.55
12년01월20일,109.86
12년01월23일,110.58
12년01월24일,110.03
12년01월25일,109.81
12년01월26일,110.79
12년01월27일,111.46
12년01월30일,110.75
12년01월31일,110.98
12년02월01일,111.56
12년02월02일,112.07
12년02월03일,114.58
12년02월06일,115.93
12년02월07일,116.23
12년02월08일,117.2
12년02월09일,118.59
12년02월10일,117.31
12년02월13일,117.93
12년02월14일,118.16
12년02월15일,118.93
12년02월16일,120.11
12년02월17일,119.58
12년02월20일,120.05
12년02월21일,121.66
12년02월22일,122.9
12년02월23일,123.62
12년02월24일,125.47
12년02월27일,124.17
12년02월28일,121.55
12년02월29일,122.66
12년03월01일,126.2
12년03월02일,123.65
12년03월05일,123.8
12년03월06일,121.98
12년03월07일,124.12
12년03월08일,125.44
12년03월09일,125.98
12년03월12일,125.34
12년03월13일,126.22
12년03월14일,124.97
12년03월15일,123.55
12년03월16일,125.81
12년03월19일,125.71
12년03월20일,124.12
12년03월21일,124.2
12년03월22일,123.14
12년03월23일,125.13
12년03월26일,125.65
12년03월27일,125.54
12년03월28일,124.16
12년03월29일,122.39
12년03월30일,122.88
12년04월02일,125.43
12년04월03일,124.86
12년04월04일,122.34
12년04월05일,123.43
12년04월09일,122.67
12년04월10일,119.88
12년04월11일,120.18
12년04월12일,121.71
12년04월13일,121.83
12년04월16일,118.68
12년04월17일,118.78
12년04월18일,117.97
12년04월19일,118
12년04월20일,118.76
12년04월23일,118.71
12년04월24일,118.16
12년04월25일,119.12
12년04월26일,119.92
12년04월27일,119.83
12년04월30일,119.47
12년05월01일,119.66
12년05월02일,118.2
12년05월03일,116.08
12년05월04일,113.18
12년05월07일,113.16
12년05월08일,112.73
12년05월09일,113.2
12년05월10일,112.73
12년05월11일,112.26
12년05월14일,111.57
12년05월15일,112.24
12년05월16일,111.71
12년05월17일,107.49
12년05월18일,107.14
12년05월21일,108.81
12년05월22일,108.41
12년05월23일,105.56
12년05월24일,106.55
12년05월25일,106.83
12년05월28일,107.11
12년05월29일,106.68
12년05월30일,103.47
12년05월31일,101.87
12년06월01일,98.43
12년06월04일,98.85
12년06월05일,98.84
12년06월06일,100.64
12년06월07일,99.93
12년06월08일,99.47
12년06월11일,98
12년06월12일,97.14
12년06월13일,97.13
12년06월14일,97.03
12년06월15일,97.61
12년06월18일,96.05
12년06월19일,95.76
12년06월20일,92.69
12년06월21일,89.23
12년06월22일,90.98
12년06월25일,91.01
12년06월26일,93.02
12년06월27일,93.5
12년06월28일,91.36
12년06월29일,97.8
12년07월02일,97.34
12년07월03일,100.68
12년07월04일,99.77
12년07월05일,100.7
12년07월06일,98.19
12년07월09일,100.32
12년07월10일,97.97
12년07월11일,100.23
12년07월12일,101.07
12년07월13일,102.4
12년07월16일,103.55
12년07월17일,104
12년07월18일,105.16
12년07월19일,107.8
12년07월20일,106.83
12년07월23일,103.26
12년07월24일,103.42
12년07월25일,104.38
12년07월26일,105.26
12년07월27일,106.47
12년07월30일,106.2
12년07월31일,104.92
12년08월01일,105.96
12년08월02일,105.9
12년08월03일,108.94
12년08월06일,109.55
12년08월07일,112
12년08월08일,112.14
12년08월09일,113.22
12년08월10일,112.95
12년08월13일,113.6
12년08월14일,114.03
12년08월15일,116.25
12년08월16일,116.9
12년08월17일,113.71
12년08월20일,113.7
12년08월21일,114.64
12년08월22일,114.91
12년08월23일,115.01
12년08월24일,113.59
12년08월27일,112.26
12년08월28일,112.58
12년08월29일,112.54
12년08월30일,112.65
12년08월31일,114.57
12년09월03일,115.78
12년09월04일,114.18
12년09월05일,113.09
12년09월06일,113.49
12년09월07일,114.25
12년09월10일,114.81
12년09월11일,115.4
12년09월12일,115.96
12년09월13일,116.9
12년09월14일,116.66
12년09월17일,113.79
12년09월18일,112.03
12년09월19일,108.19
12년09월20일,110.03
12년09월21일,111.42
12년09월24일,109.81
12년09월25일,110.45
12년09월26일,110.04
12년09월27일,112.01
12년09월28일,112.39
12년10월01일,112.19
12년10월02일,111.57
12년10월03일,108.17
12년10월04일,112.58
12년10월05일,112.02
12년10월08일,111.82
12년10월09일,114.5
12년10월10일,114.33
12년10월11일,115.71
12년10월12일,114.62
12년10월15일,115.8
12년10월16일,115.07
12년10월17일,113.22
12년10월18일,112.42
12년10월19일,110.14
12년10월22일,109.44
12년10월23일,108.25
12년10월24일,107.85
12년10월25일,108.49
12년10월26일,109.55
12년10월29일,109.44
12년10월30일,109.08
12년10월31일,108.7
12년11월01일,108.17
12년11월02일,105.68
12년11월05일,107.73
12년11월06일,111.07
12년11월07일,106.82
12년11월08일,107.25
12년11월09일,109.4
12년11월12일,109.07
12년11월13일,108.26
12년11월14일,109.61
12년11월15일,110.98
12년11월16일,108.95
12년11월19일,111.7
12년11월20일,109.83
12년11월21일,110.86
12년11월22일,110.55
12년11월23일,111.38
12년11월26일,110.92
12년11월27일,109.87
12년11월28일,109.51
12년11월29일,110.76
12년11월30일,111.23
12년12월03일,110.92
12년12월04일,109.84
12년12월05일,108.81
12년12월06일,107.03
12년12월07일,107.02
12년12월10일,107.33
12년12월11일,108.01
12년12월12일,109.5
12년12월13일,107.91
12년12월14일,
12년12월17일,107.64
12년12월18일,108.84
12년12월19일,110.36
12년12월20일,110.2
12년12월21일,108.97
12년12월24일,108.8
12년12월26일,111.07
12년12월27일,110.8
12년12월28일,110.62
12년12월31일,
13년01월02일,112.47
13년01월03일,112.14
13년01월04일,111.31
13년01월07일,111.4
13년01월08일,111.94
13년01월09일,111.76
13년01월10일,111.89
13년01월11일,110.64
13년01월14일,111.88
13년01월15일,110.3
13년01월16일,110.61
13년01월17일,111.1
13년01월18일,111.89
13년01월21일,111.71
13년01월22일,112.42
13년01월23일,112.8
13년01월24일,113.28
13년01월25일,113.28
13년01월28일,113.48
13년01월29일,114.36
13년01월30일,114.9
13년01월31일,115.55
13년02월01일,116.76
13년02월04일,115.6
13년02월05일,116.52
13년02월06일,116.73
13년02월07일,117.24
13년02월08일,118.9
13년02월11일,118.13
13년02월12일,118.66
13년02월13일,118.72
13년02월14일,118
13년02월15일,117.66
